id,customer_code,name,address_line1,address_line2,address_line3,address_line4,postcode,phone_number,country_code,category,currency,pod_on_portal,invoice_on_portal,handheld_status_on_portal,eta_status_on_portal,general_status_on_portal,status,vat_number,payment_terms,created_at,updated_at,is_deleted
60,JOH003,JOHNSONS MOVING SERVICES LTD,7 BRUNEL COURT,RUDHEATH WAY,Northwich,Cheshire,CW9 7LP,0800 279 2505,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
61,JUS001,JUST SUPPLEMENTS,CROSSROAD COTTAGE,2 CROSS LANES,Nantwich,Cheshire,CW5 6AE,07968 287708,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
62,KAN001,KANGA COURIERS,3 MAGPIE CLOSE,.,Harwich,Essex,CO12 4WG,01255 242425,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
63,LIF002,LIFESTYLE ARTS AND CRAFTS LTD,UNIT 10 GATE FARM RURAL ENT PARK,WETTENHALL ROAD,Nantwich,Cheshire,CW5 6AL,01606 301500,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
64,LIV001,LIVESTOCK SUPPLIES LTD,BEESTON GATE FARM,BEESTON,Tarporley,Cheshire,CW6 9NN,01829 260328,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
65,LVP001,LV Power Solutions Ltd,Unit 12A,Oasis Business Park,Winsford,Cheshire,CW7 3RY,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
66,THO004,M J & M C Thomasson,Aston Lower Hall,Worleston,Nantwich,Cheshire,CW5 6DS,7733160928,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
67,MSU001,MAC STORE UK,30 WALL LANE,NANTWICH,Nantwich,Cheshire,CW5 5LS,02030049465	,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
68,MAG001,MAGFORMERS UK LTD,UNIT 4 ALVASTON BUSINESS PARK,MIDDLEWICH ROAD,Nantwich,Cheshire,CW5 6PF,01270 446250,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
69,MAP001,MAPLE LEAF DESIGNS,MAPLE LEAF HOUSE,CREWE ROAD,Sandbach,Cheshire,CW11 4RS,01270 253214,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
