ConsignmentNumber,CustomerReference,CustomerReference2,ConsignmentType,AccountCode,CollectionName,CollectionAddress1,CollectionAddress2,CollectionTownCity,CollectionCounty,CollectionPostCode,CollectionCountry,CollectionIsResidential,CollectionDate,CollectionTime,CollectionContactName,CollectionPhone,CollectionSMS,CollectionEmailAddress,CollectionNoteLine1,CollectionNoteLine2,CollectionNoteLine3,CollectionNoteLine4,DeliveryName,DeliveryAddress1,DeliveryAddress2,DeliveryTownCity,DeliveryCounty,DeliveryPostCode,DeliveryCountry,DeliveryIsResidential,DeliveryDate,DeliveryTime,DeliveryContactName,DeliveryPhone,DeliverySMS,DeliveryEmailAddress,CustPaperworkRequired,DeliveryNoteLine1,DeliveryNoteLine2,DeliveryNoteLine3,DeliveryNoteLine4,TotalSpaces,TotalKilos,UnitCode,FullQ,HalfQ,HalfPlusQ,QuarterQ,MicroQ,ServiceCode,Surcharges,Surcharge1,Surcharge2,Surcharge3,Surcharge4,Surcharge5,AmazonASN,AmazonFBARef,AmazonBillOfLading,AmazonCartonCount,AmazonUnitCount,AmazonPORef
125,3999019614,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,ESL,01829 260704,,,,,,,Bunches,Unit 19,,Nottinghamshire,,NG15 0DQ,GBR,,2025-10-20,00:00,Bunches,01623 750343,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,27,PL,0,0,0,1,0,B,BK,BK,,,,,,,,0,0,
126,6392075,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,NBF,01829 260704,,,,,,,MUSCLE FINESSE LTD,UNIT 3,,PETERBOROUGH,,PE2 6SG,GBR,,2025-10-20,00:00,MUSCLE FINESSE LTD,01733 232994,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,142,PL,0,0,0,1,0,B,BK,BK,,,,,,,,0,0,
127,6391861,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,NBF,01829 260704,,,,,,,TROPICANA HEALTH & FITNESS LTD,UNITS 33 FORGE LANE,MINWORTH IND PARK,SUTTON COLDFIELD,,B76 1AH,GBR,,2025-10-20,00:00,TROPICANA HEALTH & FITNESS LTD,0121 313 6738,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,163,PL,0,1,0,0,0,B,BK,BK,,,,,,,,0,0,
128,WO2504057,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,FOCUS FOODSERVICES,FAN ROAD,STAVELEY,CHESTERFIELD,DERBYSHIRE,S43 3PT,GBR,,2025-10-20,00:00,FOCUS FOODSERVICES,01246 280559,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,566,PL,1,0,0,0,0,B,BK,BK,,,,,,,,0,0,
129,WO2503981,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,KING BROTHERS (LADY LODGE) LTD,FROZEN FOOD WHOLESALERS,,PETERBOROUGH,,PE2 5JG,GBR,,2025-10-20,00:00,KING BROTHERS (LADY LODGE) LTD,01733 239445,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,771,PL,1,0,0,0,0,B,BK,BK,,,,,,,,0,0,
130,82186608,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,BOT,01829 260704,,,,,,,INN EXPRESS,UNIT 3 & 4 LOWER BARN BUILDING,,ALCESTER,WARWICKSHIRE,B49 6GB,GBR,,2025-10-20,00:00,INN EXPRESS,01789 488008,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,904,PL,1,0,0,0,0,B,BK,BK,,,,,,,,0,0,
131,WO2504008,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,LIO,01829 260704,,,,,,,THOMAS RIDLEY & SONS LTD,ROUGHAM INDUSTRIAL EST,,BURY ST EDMONDS,SUFFOLK,IP30 9ND,GBR,,2025-10-20,00:00,THOMAS RIDLEY & SONS LTD,01359 270422,,,Y,BY 24/6,Customer paperwork must be signed.,,,2,1690,PL,2,0,0,0,0,B,BK,BK,,,,,,,,0,0,
132,BIP40207,,2,BOUSAP,Boughey Distribution Ltd,Wardle,,Nantwich,Cheshire,CW5 6RS,GBR,,2025-10-16,,WHA,01829 260704,,,,,,,WORLD OF SWEETS (HANCOCKS) LTD,305 BLOCHAIRN ROAD,,GLASGOW,LANARKSHIRE,G21 2RL,GBR,,2025-10-20,00:00,WORLD OF SWEETS (HANCOCKS) LTD,0141 552 2210,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,162,PL,1,0,0,0,0,B,BK,BK,,,,,,,,0,0,
133,110815,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,KOH,,,,,,,,Enterprise Brands Ltd,Unit 16,,Burscough (R),,L40 8AH,GBR,,2025-10-20,00:00,Enterprise Brands Ltd,07568 337139,,,Y,BY 24/6 (R),Customer paperwork must be signed.,,,1,203,PL,1,0,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
134,585228,,2,BOUSAP,Boughey Distribution Ltd,Pit Head Close,Lymedale Business Park,Newcastle-under-Lyme,Staffordshire,CW5 6RS,GBR,,2025-10-16,,SWI,,,,,,,,MR SCRATCHINGS LTD,UNIT 2 CHAPEL ROAD,LOW MOOR,BRADFORD,WEST YORKSHIRE,BD12 0QW,GBR,,2025-10-20,00:00,MR SCRATCHINGS LTD,01274 670044,,,Y,BY 24/6,Customer paperwork must be signed.,,,1,144,PL,0,1,0,0,0,B,BK TL,BK,TL,,,,,,,0,0,
